Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date
MH166883,West Nile virus,GenBank,set:MH166883,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11023,complete,"USA: VA, Norfolk County",USA,VA,Aves,,2002
MH166884,West Nile virus,GenBank,set:MH166884,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11023,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2004
MH166885,West Nile virus,GenBank,set:MH166885,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11023,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2009
MH166886,West Nile virus,GenBank,set:MH166886,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11027,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2001
MH166887,West Nile virus,GenBank,set:MH166887,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11025,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2002
MH166888,West Nile virus,GenBank,set:MH166888,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11023,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2005
MH166889,West Nile virus,GenBank,set:MH166889,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11021,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2006
MH166890,West Nile virus,GenBank,set:MH166890,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11029,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2006
MH166891,West Nile virus,GenBank,set:MH166891,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11025,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2007
MH166892,West Nile virus,GenBank,set:MH166892,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11024,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2008
MH166893,West Nile virus,GenBank,set:MH166893,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11018,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2010
MH166894,West Nile virus,GenBank,set:MH166894,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11023,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2007
MH166895,West Nile virus,GenBank,set:MH166895,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11015,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2005
MH166896,West Nile virus,GenBank,set:MH166896,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11025,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2009
MH166897,West Nile virus,GenBank,set:MH166897,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11022,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2010
MH166898,West Nile virus,GenBank,set:MH166898,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11027,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2008
MH166899,West Nile virus,GenBank,set:MH166899,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11028,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2002
MH166900,West Nile virus,GenBank,set:MH166900,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11018,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2003
MH166901,West Nile virus,GenBank,set:MH166901,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11025,complete,"USA: VA, Norfolk County",USA,VA,Aves,,2000
MH166902,West Nile virus,GenBank,set:MH166902,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11019,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2010
MH166903,West Nile virus,GenBank,set:MH166903,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11026,complete,"USA: VA, Norfolk County",USA,VA,Aves,,2000
MH166904,West Nile virus,GenBank,set:MH166904,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11018,complete,"USA: VA, Norfolk County",USA,VA,Aves,,2000
MH166905,West Nile virus,GenBank,set:MH166905,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11026,complete,"USA: VA, Norfolk County",USA,VA,Aves,,2002
MH166906,West Nile virus,GenBank,set:MH166906,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11026,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2003
MH166907,West Nile virus,GenBank,set:MH166907,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11018,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2006
MH166908,West Nile virus,GenBank,set:MH166908,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11018,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2005
MH166909,West Nile virus,GenBank,set:MH166909,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11023,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2009
MH166910,West Nile virus,GenBank,set:MH166910,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11018,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2006
MH166911,West Nile virus,GenBank,set:MH166911,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11023,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2002
MH166912,West Nile virus,GenBank,set:MH166912,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11024,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2003
MH166913,West Nile virus,GenBank,set:MH166913,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11029,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2004
MH166914,West Nile virus,GenBank,set:MH166914,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11028,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2009
MH166915,West Nile virus,GenBank,set:MH166915,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11019,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2002
MH166916,West Nile virus,GenBank,set:MH166916,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11029,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2010
MH166917,West Nile virus,GenBank,set:MH166917,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11019,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2004
MH166918,West Nile virus,GenBank,set:MH166918,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11023,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2008
MH166919,West Nile virus,GenBank,set:MH166919,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11013,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2004
MH166920,West Nile virus,GenBank,set:MH166920,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11027,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2009
MH166921,West Nile virus,GenBank,set:MH166921,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11027,complete,"USA: VA, Norfolk County",USA,VA,Culicidae,,2008
MH170226,West Nile virus,GenBank,set:MH170226,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11018,complete,"USA: CO, Fort Collins (80526)",USA,CO,Turdus migratorius,,2003
MH170227,West Nile virus,GenBank,set:MH170227,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11003,complete,"USA: CO, Larimer County",USA,CO,Culex tarsalis,,2004
MH170228,West Nile virus,GenBank,set:MH170228,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11022,complete,"USA: CO, Larimer County",USA,CO,Culex pipiens,,2003
MH170229,West Nile virus,GenBank,set:MH170229,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11024,complete,"USA: CO, Weld County",USA,CO,Culicidae,,2006
MH170230,West Nile virus,GenBank,set:MH170230,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11013,complete,"USA: CO, Weld County",USA,CO,Culicidae,,2007
MH170231,West Nile virus,GenBank,set:MH170231,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11018,complete,"USA: CO, Fort Collins (80525)",USA,CO,Spinus tristis,,2003
MH170232,West Nile virus,GenBank,set:MH170232,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11013,complete,"USA: CO, Weld County",USA,CO,Culicidae,,2006
MH170233,West Nile virus,GenBank,set:MH170233,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11012,complete,"USA: CO, Loveland, LarimerCounty",USA,CO,Bubo virginianus,,2004
MH170234,West Nile virus,GenBank,set:MH170234,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11021,complete,"USA: CO, Fort Collins (80526)",USA,CO,Pica hudsonia,,2003
MH170235,West Nile virus,GenBank,set:MH170235,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11013,complete,"USA: CO, Weld County",USA,CO,Culicidae,,2006
MH170236,West Nile virus,GenBank,set:MH170236,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11021,complete,"USA: CO, Weld County",USA,CO,Culicidae,,2006
MH170237,West Nile virus,GenBank,set:MH170237,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11015,complete,"USA: CO, Larimer County",USA,CO,Culex pipiens,,2003
MH170238,West Nile virus,GenBank,set:MH170238,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11004,complete,"USA: CO, Fort Collins",USA,CO,Turdus migratorius,,2003
MH170239,West Nile virus,GenBank,set:MH170239,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11011,complete,"USA: CO, Weld County",USA,CO,Culex tarsalis,,2006
MH170240,West Nile virus,GenBank,set:MH170240,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11022,complete,"USA: CO, Wellington, Larimer County",USA,CO,Culex tarsalis,,2008
MH170241,West Nile virus,GenBank,set:MH170241,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11020,complete,"USA: CO, Weld County",USA,CO,Culex tarsalis,,2007
MH170242,West Nile virus,GenBank,set:MH170242,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11015,complete,USA: CO,USA,CO,Culicidae,,2007
MH170243,West Nile virus,GenBank,set:MH170243,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11024,complete,"USA: CO, Weld County",USA,CO,Culex tarsalis,,2006
MH170244,West Nile virus,GenBank,set:MH170244,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11015,complete,"USA: CO, Weld County",USA,CO,Culex tarsalis,,2007
MH170245,West Nile virus,GenBank,set:MH170245,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11012,complete,"USA: CO, Wellington, Larimer County",USA,CO,Culex tarsalis,,2008
MH170246,West Nile virus,GenBank,set:MH170246,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11005,complete,"USA: CO, Weld County",USA,CO,Culex tarsalis,,2004
MH170247,West Nile virus,GenBank,set:MH170247,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11012,complete,"USA: CO, Wellington, Larimer County",USA,CO,Culex tarsalis,,2008
MH170248,West Nile virus,GenBank,set:MH170248,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11025,complete,"USA: CO, Wellington, Larimer County",USA,CO,Buteo jamaicensis,,2004
MH170249,West Nile virus,GenBank,set:MH170249,"Swetnam,D., Widen,S.G., Wood,T.G., Reyna,M., Wilkerson,L., Debboun,M., Symonds,D.A., Mead,D.G., Beaty,B.J., Guzman,H., Tesh,R.B., Barrett,A.D.T., Swetnam,D.M.","University of Texas Medical Branch, Microbiology and Immunology",USA,11/19/18,,Orthoflavivirus nilense,11014,complete,"USA: CO, Weld County",USA,CO,Culex tarsalis,,2006
